Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Displaced fracture of left ulna styloid process, subsequent encounter for open fracture type I or II with nonunion",S52612M,S52612M,,Yes,
"Unspecified early complication of trauma, subsequent encounter",T799XXD,T799XXD,,Yes,
"Disorder of urinary system, unspecified",N399,N399,,Yes,
"Explosion and rupture of other specified pressurized devices, initial encounter",W38XXXA,W38XXXA,,Yes,
"Nondisplaced intertrochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72145N,S72145N,,Yes,
"Anterior subluxation of unspecified ulnohumeral joint, subsequent encounter",S53113D,S53113D,,Yes,
"Displaced transverse fracture of shaft of right femur, subsequent encounter for open fracture type I or II with routine healing",S72321E,S72321E,,Yes,
Stenosis of right lacrimal sac,H04571,H04571,,Yes,
"Laceration of muscle, fascia and tendon at neck level, initial encounter",S162XXA,S162XXA,,Yes,
"Breakdown (mechanical) of cardiac electrode, initial encounter",T82110A,T82110A,,Yes,
"Driver of bus injured in collision with other motor vehicles in nontraffic accident, sequela",V7909XS,V7909XS,,Yes,
"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V623XXS,V623XXS,,Yes,
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52001R,S52001R,,Yes,
"Unspecified physeal fracture of left calcaneus, subsequent encounter for fracture with routine healing",S99002D,S99002D,,Yes,
"Other specified arthritis, right wrist",M13831,M13831,,Yes,
"Assault by blunt object, subsequent encounter",Y00XXXD,Y00XXXD,,Yes,
"Military operations involving fragments from munitions, civilian, initial encounter",Y37251A,Y37251A,,Yes,
"Other mechanical complication of surgically created arteriovenous shunt, initial encounter",T82591A,T82591A,,Yes,
"Alcohol use, unspecified with withdrawal, unspecified",F10939,F10939,,Yes,
"Accidental bite by another person, sequela",W503XXS,W503XXS,,Yes,
"Smith's fracture of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52541N,S52541N,,Yes,
Heart-lung transplant rejection,T8631,T8631,,Yes,
Cellulitis of abdominal wall,L03311,L03311,,Yes,
"Maternal care for other rhesus isoimmunization, first trimester, other fetus",O360919,O360919,,Yes,
Other complications of colostomy,K9409,K9409,,Yes,
"Laceration without foreign body of lip, sequela",S01511S,S01511S,,Yes,
Neoplasm of unspecified behavior of left kidney,D49512,D49512,,Yes,
"Open angle with borderline findings, low risk, right eye",H40011,H40011,,Yes,
"Partial traumatic amputation at right shoulder joint, sequela",S48021S,S48021S,,Yes,
"Accidental malfunction of shotgun, initial encounter",W3311XA,W3311XA,,Yes,
"Oligomenorrhea, unspecified",N915,N915,,Yes,
"Major laceration of left carotid artery, initial encounter",S15022A,S15022A,,Yes,
"Osteophyte, right ankle",M25771,M25771,,Yes,
"Nondisplaced fracture of proximal phalanx of left great toe, subsequent encounter for fracture with routine healing",S92415D,S92415D,,Yes,
"Unspecified fracture of shaft of left ulna, subsequent encounter for closed fracture with malunion",S52202P,S52202P,,Yes,
Unilateral inguinal testis,Q53112,Q53112,,Yes,
"Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",E133522,E133522,,Yes,
Chronic pulmonary blastomycosis,B401,B401,,Yes,
"Unspecified fracture of upper end of right humerus, initial encounter for closed fracture",S42201A,S42201A,,Yes,
"Other fracture of upper end of right ulna, subsequent encounter for closed fracture with delayed healing",S52091G,S52091G,,Yes,
"Calcium deposit in bursa, unspecified knee",M71469,M71469,,Yes,
"Fracture of unspecified parts of lumbosacral spine and pelvis, initial encounter for open fracture",S329XXB,S329XXB,,Yes,
"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82041N,S82041N,,Yes,
"Unspecified infection of urinary tract in pregnancy, first trimester",O2341,O2341,,Yes,
"Malignant melanoma of left upper eyelid, including canthus",C43121,C43121,,Yes,
"Other dislocation of unspecified foot, initial encounter",S93336A,S93336A,,Yes,
Other infection carrier state complicating pregnancy,O99830,O99830,,Yes,
Late vomiting of pregnancy,O212,O212,,Yes,
"Drowning and submersion due to being washed overboard from fishing boat, subsequent encounter",V9222XD,V9222XD,,Yes,
"Pathological fracture, hip, unspecified, initial encounter for fracture",M84459A,M84459A,,Yes,
"Hypertrophy of bone, unspecified femur",M89359,M89359,,Yes,
"Fracture of orbital roof, unspecified side, initial encounter for open fracture",S02129B,S02129B,,Yes,
"Pedestrian injured in unspecified transport accident, sequela",V099XXS,V099XXS,,Yes,
"Driver of bus injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V710XXD,V710XXD,,Yes,
"Toxic effect of taipan venom, accidental (unintentional), subsequent encounter",T63031D,T63031D,,Yes,
"Strain of flexor muscle, fascia and tendon of right ring finger at forearm level, sequela",S56115S,S56115S,,Yes,
"Unspecified intracapsular fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72019N,S72019N,,Yes,
"Unstable burst fracture of first thoracic vertebra, subsequent encounter for fracture with nonunion",S22012K,S22012K,,Yes,
Malignant neoplasm of undescended right testis,C6201,C6201,,Yes,
"Fall due to collision between unspecified watercraft and other watercraft or other object, initial encounter",V9129XA,V9129XA,,Yes,
"Laceration without foreign body of right back wall of thorax without penetration into thoracic cavity, subsequent encounter",S21211D,S21211D,,Yes,
Calculus in bladder,N210,N210,,Yes,
Other natural environment type phobia,F40228,F40228,,Yes,
"Dislocation of T4/T5 thoracic vertebra, initial encounter",S23131A,S23131A,,Yes,
"Other intraarticular fracture of lower end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52571N,S52571N,,Yes,
Myogenic ptosis of left eyelid,H02422,H02422,,Yes,
"Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage",H401421,H401421,,Yes,
Postprocedural adrenocortical (-medullary) hypofunction,E896,E896,,Yes,
"Unspecified occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V359XXD,V359XXD,,Yes,
"Injury of unspecified blood vessel at neck level, subsequent encounter",S159XXD,S159XXD,,Yes,
"Corrosion of unspecified degree of multiple right fingers (nail), not including thumb, initial encounter",T23431A,T23431A,,Yes,
"Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing",M808B9D,M808B9D,,Yes,
"Puncture wound with foreign body of unspecified buttock, sequela",S31804S,S31804S,,Yes,
"Strain of extensor muscle, fascia and tendon of left middle finger at forearm level, initial encounter",S56414A,S56414A,,Yes,
Rheumatoid arthritis of unspecified knee with involvement of other organs and systems,M05669,M05669,,Yes,
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",S52022M,S52022M,,Yes,
"Unspecified helicopter accident injuring occupant, sequela",V9500XS,V9500XS,,Yes,
Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,D811,D811,,Yes,
"Pathological fracture, left toe(s), initial encounter for fracture",M84478A,M84478A,,Yes,
"Vascular dementia, mild, with anxiety",F01A4,F01A4,,Yes,
"Male infertility, unspecified",N469,N469,,Yes,
Gallstone ileus,K563,K563,,Yes,
"Persistent migraine aura without cerebral infarction, intractable, without status migrainosus",G43519,G43519,,Yes,
"Nondisplaced fracture of fourth metatarsal bone, right foot, sequela",S92344S,S92344S,,Yes,
"War operations involving explosion of aerial bomb, civilian, initial encounter",Y36211A,Y36211A,,Yes,
Fissure and fistula of nipple,N640,N640,,Yes,
"Nonspecific lymphadenitis, unspecified",I889,I889,,Yes,
"Laceration of unspecified part of small intestine, initial encounter",S36439A,S36439A,,Yes,
"Other synovitis and tenosynovitis, right shoulder",M65811,M65811,,Yes,
"Blister (nonthermal) of left front wall of thorax, sequela",S20322S,S20322S,,Yes,
"Contusion of right shoulder, subsequent encounter",S40011D,S40011D,,Yes,
"Displaced segmental fracture of shaft of right fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",S82461C,S82461C,,Yes,
"Laceration with foreign body of right elbow, subsequent encounter",S51021D,S51021D,,Yes,
"Salter-Harris Type I physeal fracture of lower end of ulna, right arm, subsequent encounter for fracture with delayed healing",S59011G,S59011G,,Yes,
"Poisoning by ophthalmological drugs and preparations, undetermined, sequela",T495X4S,T495X4S,,Yes,
"Displaced transverse fracture of shaft of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",S72323M,S72323M,,Yes,
"Paralytic calcification and ossification of muscle, left shoulder",M61212,M61212,,Yes,
"Unspecified foreign body in pharynx causing other injury, initial encounter",T17208A,T17208A,,Yes,
Encounter for examination and observation for other specified reasons,Z0489,Z0489,,Yes,
"Unspecified superficial injury of anus, sequela",S3098XS,S3098XS,,Yes,
"Toxic effect of thallium, accidental (unintentional), sequela",T56811S,T56811S,,Yes,
"Serous conjunctivitis, except viral, left eye",H10232,H10232,,Yes,
Antisocial personality disorder,F602,F602,,Yes,
Swimming-pool in single-family (private) house or garden as the place of occurrence of the external cause,Y92016,Y92016,,Yes,
"Poisoning by predominantly alpha-adrenoreceptor agonists, intentional self-harm, sequela",T444X2S,T444X2S,,Yes,
"Frostbite with tissue necrosis of unspecified ear, sequela",T34019S,T34019S,,Yes,
"Unspecified epiphora, bilateral",H04203,H04203,,Yes,
"Underdosing of centrally-acting and adrenergic-neuron-blocking agents, sequela",T448X6S,T448X6S,,Yes,
Other giant cell arteritis,M316,M316,,Yes,
"Activity, mountain climbing, rock climbing and wall climbing",Y9331,Y9331,,Yes,
"Encounter for supervision of other normal pregnancy, third trimester",Z3483,Z3483,,Yes,
"Pathological fracture, unspecified shoulder, subsequent encounter for fracture with nonunion",M84419K,M84419K,,Yes,
"Other secondary chronic gout, right ankle and foot, with tophus (tophi)",M1A4711,M1A4711,,Yes,
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, sequela",V555XXS,V555XXS,,Yes,
"Toxic effect of venom of other spider, accidental (unintentional), subsequent encounter",T63391D,T63391D,,Yes,
"Other incomplete lesion at C3 level of cervical spinal cord, subsequent encounter",S14153D,S14153D,,Yes,
"Other chronic osteomyelitis, right humerus",M86621,M86621,,Yes,
"Unspecified bus occupant injured in collision with other motor vehicles in traffic accident, sequela",V7969XS,V7969XS,,Yes,
"Contusion of left forearm, sequela",S5012XS,S5012XS,,Yes,
"Unspecified injury of right ankle, subsequent encounter",S99911D,S99911D,,Yes,
"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V663XXD,V663XXD,,Yes,
"Unspecified injury of unspecified renal vein, subsequent encounter",S35406D,S35406D,,Yes,
Malignant neoplasm of left ureter,C662,C662,,Yes,
"Other displaced fracture of seventh cervical vertebra, initial encounter for open fracture",S12690B,S12690B,,Yes,
"Encounter for pregnancy test, result positive",Z3201,Z3201,,Yes,
"Other superficial bite of ankle, right ankle, initial encounter",S90571A,S90571A,,Yes,
"Dislocation of L4/L5 lumbar vertebra, subsequent encounter",S33141D,S33141D,,Yes,
"Toxic effect of other alcohols, intentional self-harm, sequela",T518X2S,T518X2S,,Yes,
"Unspecified sprain of right wrist, sequela",S63501S,S63501S,,Yes,
"Nondisplaced fracture of right tibial tuberosity, subsequent encounter for open fracture type I or II with nonunion",S82154M,S82154M,,Yes,
"Vernal keratoconjunctivitis, with limbar and corneal involvement, bilateral",H16263,H16263,,Yes,
"Other disorders of bone development and growth, unspecified shoulder",M89219,M89219,,Yes,
"Laceration with foreign body of unspecified back wall of thorax without penetration into thoracic cavity, initial encounter",S21229A,S21229A,,Yes,
Loose body in left hip,M24052,M24052,,Yes,
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with routine healing",S52042E,S52042E,,Yes,
"Unspecified disorder of synovium and tendon, left thigh",M67952,M67952,,Yes,
"Unspecified noninfective disorders of pinna, bilateral",H61103,H61103,,Yes,
"Subluxation of metacarpophalangeal joint of left ring finger, sequela",S63215S,S63215S,,Yes,
"Passenger on bus injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V736XXD,V736XXD,,Yes,
"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V322XXA,V322XXA,,Yes,
"Unspecified fracture of lower end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52602F,S52602F,,Yes,
"Unspecified complication following infusion and therapeutic injection, initial encounter",T8090XA,T8090XA,,Yes,
"Other fracture of left patella, initial encounter for closed fracture",S82092A,S82092A,,Yes,
Hyperstimulation of ovaries,N981,N981,,Yes,
Other hemorrhoids,K648,K648,,Yes,
"Personal history of other complications of pregnancy, childbirth and the puerperium",Z8759,Z8759,,Yes,
"Burn of unspecified degree of back of left hand, initial encounter",T23062A,T23062A,,Yes,
"Traumatic compartment syndrome of right lower extremity, subsequent encounter",T79A21D,T79A21D,,Yes,
"Displaced segmental fracture of shaft of right fibula, sequela",S82461S,S82461S,,Yes,
"Injury of other specified nerves of neck, initial encounter",S148XXA,S148XXA,,Yes,
"Other fracture of shaft of right ulna, subsequent encounter for open fracture type I or II with nonunion",S52291M,S52291M,,Yes,
"External constriction, left hip, initial encounter",S70242A,S70242A,,Yes,
"Other physeal fracture of lower end of left tibia, sequela",S89192S,S89192S,,Yes,
"Nondisplaced spiral fracture of shaft of right tibia, subsequent encounter for open fracture type I or II with routine healing",S82244E,S82244E,,Yes,
"Adverse effect of mixed antiepileptics, sequela",T425X5S,T425X5S,,Yes,
"Unspecified injury of extensor muscle, fascia and tendon of right ring finger at wrist and hand level, sequela",S66304S,S66304S,,Yes,
"Other superficial bite of left foot, initial encounter",S90872A,S90872A,,Yes,
"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of unspecified humerus, sequela",S42426S,S42426S,,Yes,
"Other fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",S728X2C,S728X2C,,Yes,
"Fracture of orbital floor, right side, subsequent encounter for fracture with routine healing",S0231XD,S0231XD,,Yes,
"Other injury of other extensor muscle, fascia and tendon at forearm level, left arm, initial encounter",S56592A,S56592A,,Yes,
"Salter-Harris Type I physeal fracture of lower end of radius, left arm, subsequent encounter for fracture with malunion",S59212P,S59212P,,Yes,
"Burn of first degree of left lower leg, subsequent encounter",T24132D,T24132D,,Yes,
"Fall from non-moving nonmotorized scooter, sequela",W051XXS,W051XXS,,Yes,
Nosocomial condition,Y95,Y95,,Yes,
"Displaced fracture of right ulna styloid process, subsequent encounter for closed fracture with delayed healing",S52611G,S52611G,,Yes,
"Unspecified physeal fracture of phalanx of left toe, initial encounter for closed fracture",S99202A,S99202A,,Yes,
"Other superficial bite of unspecified shoulder, subsequent encounter",S40279D,S40279D,,Yes,
"Displaced avulsion fracture of right ischium, subsequent encounter for fracture with nonunion",S32611K,S32611K,,Yes,
"Toxic effect of unspecified alcohol, intentional self-harm, sequela",T5192XS,T5192XS,,Yes,
"Monteggia's fracture of left ulna, sequela",S52272S,S52272S,,Yes,
"Primary optic atrophy, left eye",H47212,H47212,,Yes,
Sepsis of newborn due to unspecified staphylococci,P3630,P3630,,Yes,
"Nondisplaced transverse fracture of left patella, sequela",S82035S,S82035S,,Yes,
"Laceration without foreign body of nose, sequela",S0121XS,S0121XS,,Yes,
"Displaced fracture of right tibial tuberosity, subsequent encounter for open fracture type I or II with malunion",S82151Q,S82151Q,,Yes,
"Sector or arcuate defects, right eye",H53431,H53431,,Yes,
"Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V675XXD,V675XXD,,Yes,
"Asphyxiation due to mechanical threat to breathing due to other causes, accidental, sequela",T71191S,T71191S,,Yes,
"Toxic effect of other insecticides, accidental (unintentional), initial encounter",T602X1A,T602X1A,,Yes,
"Displaced fracture of unspecified ulna styloid process, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52613C,S52613C,,Yes,
"Open bite of left thumb without damage to nail, sequela",S61052S,S61052S,,Yes,
"Unspecified displaced fracture of first cervical vertebra, sequela",S12000S,S12000S,,Yes,
"Toxic effect of contact with venomous marine plant, assault, sequela",T63713S,T63713S,,Yes,
"Unspecified fracture of left wrist and hand, subsequent encounter for fracture with routine healing",S6292XD,S6292XD,,Yes,
Non-pressure chronic ulcer of unspecified thigh with muscle involvement without evidence of necrosis,L97105,L97105,,Yes,
"Collapsed vertebra, not elsewhere classified, site unspecified, subsequent encounter for fracture with routine healing",M4850XD,M4850XD,,Yes,
"Contact with running hot water, sequela",X111XXS,X111XXS,,Yes,
"Other infective (teno)synovitis, unspecified elbow",M65129,M65129,,Yes,
"Iliofemoral ligament sprain of left hip, subsequent encounter",S73112D,S73112D,,Yes,
Rheumatoid heart disease with rheumatoid arthritis of right elbow,M05321,M05321,,Yes,
"Other instability, left ankle",M25372,M25372,,Yes,
"Activity, other involving other sports and athletics played individually",Y9359,Y9359,,Yes,
"Stress fracture, left ankle, subsequent encounter for fracture with delayed healing",M84372G,M84372G,,Yes,
Hematocolpos,N897,N897,,Yes,
"Pathological fracture in neoplastic disease, left shoulder, initial encounter for fracture",M84512A,M84512A,,Yes,
"Smith's fracture of unspecified radius, subsequent encounter for closed fracture with delayed healing",S52549G,S52549G,,Yes,
Malignant neoplasm of left spermatic cord,C6312,C6312,,Yes,
"Laceration with foreign body of right upper arm, initial encounter",S41121A,S41121A,,Yes,
"Nondisplaced fracture of head of unspecified radius, subsequent encounter for closed fracture with routine healing",S52126D,S52126D,,Yes,
"Strain of other extensor muscle, fascia and tendon at forearm level, left arm, initial encounter",S56512A,S56512A,,Yes,
"Malignant neoplasm of larynx, unspecified",C329,C329,,Yes,
"Other otitis externa, unspecified ear",H608X9,H608X9,,Yes,
"Constant exophthalmos, bilateral",H05243,H05243,,Yes,
"Unspecified open wound of unspecified ear, initial encounter",S01309A,S01309A,,Yes,
"Laceration of blood vessel of right middle finger, sequela",S65512S,S65512S,,Yes,
"Person boarding or alighting from bus injured in collision with pedestrian or animal, subsequent encounter",V704XXD,V704XXD,,Yes,
"Glaucoma secondary to drugs, right eye, moderate stage",H4061X2,H4061X2,,Yes,
Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity,L97409,L97409,,Yes,
"Other injury of descending [left] colon, subsequent encounter",S36592D,S36592D,,Yes,
"Displaced fracture of proximal phalanx of unspecified great toe, subsequent encounter for fracture with malunion",S92413P,S92413P,,Yes,
Influenza due to other identified influenza virus with gastrointestinal manifestations,J102,J102,,Yes,
"Squamous blepharitis right eye, upper and lower eyelids",H0102A,H0102A,,Yes,
"Monocytic leukemia, unspecified, not having achieved remission",C9390,C9390,,Yes,
Benign neoplasm of left conjunctiva,D3102,D3102,,Yes,
"Intermittent exophthalmos, right eye",H05251,H05251,,Yes,
"Burn of third degree of lip(s), sequela",T2032XS,T2032XS,,Yes,
"Acute embolism and thrombosis of unspecified deep veins of lower extremity, bilateral",I82403,I824Y3,,No,
"Puncture wound with foreign body of lower back and pelvis with penetration into retroperitoneum, sequela",S31041S,S31041S,,Yes,
"Insect bite (nonvenomous), right lesser toe(s), subsequent encounter",S90464D,S90464D,,Yes,
"Other tear of lateral meniscus, current injury, right knee, initial encounter",S83281A,S83281A,,Yes,
"Sprain of metatarsophalangeal joint of unspecified lesser toe(s), initial encounter",S93526A,S93526A,,Yes,
"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela",V335XXS,V335XXS,,Yes,
"Cocaine use, unspecified with cocaine-induced psychotic disorder, unspecified",F14959,F14959,,Yes,
"Contusion of left thumb without damage to nail, subsequent encounter",S60012D,S60012D,,Yes,
"Laceration of rectum, subsequent encounter",S3663XD,S3663XD,,Yes,
"Partial traumatic metacarpophalangeal amputation of right thumb, initial encounter",S68021A,S68021A,,Yes,
"Traumatic arthropathy, unspecified shoulder",M12519,M12519,,Yes,
"Nondisplaced unspecified fracture of left lesser toe(s), sequela",S92505S,S92505S,,Yes,
"Pressure ulcer of unspecified site, stage 2",L8992,L8992,,Yes,
Zoster encephalitis,B020,B020,,Yes,
"Displaced comminuted fracture of right patella, subsequent encounter for open fracture type I or II with nonunion",S82041M,S82041M,,Yes,
"Intentional self-harm by drowning and submersion while in bathtub, sequela",X710XXS,X710XXS,,Yes,
"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined, subsequent encounter",T5804XD,T5804XD,,Yes,
COVID-19,U071,U071,,Yes,
"Contusion of lung, unspecified, sequela",S27329S,S27329S,,Yes,
"Military operations involving destruction of aircraft due to enemy fire or explosives, civilian, sequela",Y37111S,Y37111S,,Yes,
"Yaws, unspecified",A669,A669,,Yes,
"Multiple defects of retina without detachment, unspecified eye",H33339,H33339,,Yes,
"Salter-Harris Type II physeal fracture of lower end of left femur, subsequent encounter for fracture with nonunion",S79122K,S79122K,,Yes,
Institutional upbringing,Z6222,Z6222,,Yes,
"Undescended testicle, unspecified",Q539,Q539,,Yes,
"Other injury due to other accident to sailboat, initial encounter",V9184XA,V9184XA,,Yes,
"Poisoning by antiasthmatics, undetermined, initial encounter",T486X4A,T486X4A,,Yes,
"Car passenger injured in collision with sport utility vehicle in nontraffic accident, subsequent encounter",V4311XD,V4311XD,,Yes,
"Other reactive arthropathies, unspecified hand",M02849,M02849,,Yes,
"Nondisplaced oblique fracture of shaft of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S72336N,S72336N,,Yes,
"Displaced segmental fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with delayed healing",S82263G,S82263G,,Yes,
"Nondisplaced articular fracture of head of left femur, sequela",S72065S,S72065S,,Yes,
"Other nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",S12591A,S12591A,,Yes,
Allergy status to analgesic agent,Z886,Z886,,Yes,
"Unspecified complication following infusion and therapeutic injection, initial encounter",T8090XA,T8090XA,,Yes,
"Monteggia's fracture of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52279J,S52279J,,Yes,
"Underdosing of local astringents and local detergents, sequela",T492X6S,T492X6S,,Yes,
"Other secondary gout, right knee",M10461,M10461,,Yes,
"Nondisplaced avulsion fracture (chip fracture) of left talus, initial encounter for open fracture",S92155B,S92155B,,Yes,
"Other subluxation of left radial head, sequela",S53092S,S53092S,,Yes,
"Other nondisplaced fracture of base of first metacarpal bone, unspecified hand, initial encounter for open fracture",S62236B,S62236B,,Yes,
"Parachutist entangled in object, sequela",V9721XS,V9721XS,,Yes,
Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,C4082,C4082,,Yes,
"Fracture of unspecified metatarsal bone(s), unspecified foot, subsequent encounter for fracture with malunion",S92309P,S92301P,,No,
"Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion",S92346K,S92346K,,Yes,
"Supervision of pregnancy with insufficient antenatal care, first trimester",O0931,O0931,,Yes,
"Partial traumatic amputation of one right lesser toe, sequela",S98141S,S98141S,,Yes,
"Nondisplaced fracture of proximal phalanx of left lesser toe(s), sequela",S92515S,S92515S,,Yes,
Malignant neoplasm of connective and soft tissue of pelvis,C495,C495,,Yes,
"Juvenile arthritis, unspecified, left hip",M08952,M08952,,Yes,
"Nondisplaced segmental fracture of shaft of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",S72366C,S72366C,,Yes,
"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",E083591,E083591,,Yes,
"Other pre-existing diabetes mellitus in pregnancy, first trimester",O24811,O24811,,Yes,
"Corrosions of left ear drum, sequela",T28912S,T28912S,,Yes,
"Injury of medial plantar nerve, right leg, sequela",S9411XS,S9411XS,,Yes,
"Child neglect or abandonment, suspected, initial encounter",T7602XA,T7602XA,,Yes,
"Pedal cycle passenger injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V165XXD,V165XXD,,Yes,
"Other fracture of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion",S62397P,S62397P,,Yes,
"Displacement of internal fixation device of bone of right forearm, sequela",T84122S,T84122S,,Yes,
"Puncture wound with foreign body of left ring finger without damage to nail, initial encounter",S61245A,S61245A,,Yes,
"Abrasion of penis, initial encounter",S30812A,S30812A,,Yes,
"Poisoning by antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified, undetermined, subsequent encounter",T386X4D,T386X4D,,Yes,
"Degenerative myopia with retinal detachment, bilateral eye",H442C3,H442C3,,Yes,
Deep endometriosis of bilateral ovaries,N80123,N80123,,Yes,
"Anorexia nervosa, restricting type",F5001,F5001,,Yes,
"Stress fracture, left finger(s), subsequent encounter for fracture with nonunion",M84345K,M84345K,,Yes,
Dysphagia following other cerebrovascular disease,I69891,I69891,,Yes,
Lack of relaxation and leisure,Z732,Z732,,Yes,
Cardiac complications of anesthesia during the puerperium,O891,O891,,Yes,
"Nondisplaced fracture of middle third of navicular [scaphoid] bone of left wrist, sequela",S62025S,S62025S,,Yes,
"Corrosion of second degree of multiple sites of unspecified wrist and hand, initial encounter",T23699A,T23699A,,Yes,
"Nondisplaced fracture of distal phalanx of other finger, subsequent encounter for fracture with malunion",S62668P,S62668P,,Yes,
Chronic embolism and thrombosis of left popliteal vein,I82532,I82532,,Yes,
"Other air transport accident involving military aircraft, subsequent encounter",V97818D,V97818D,,Yes,
"Complete physeal arrest, left distal radius",M89132,M89132,,Yes,
"Crushing injury of unspecified hip, initial encounter",S7700XA,S7700XA,,Yes,
Legionnaires' disease,A481,A481,,Yes,
"Central serous chorioretinopathy, unspecified eye",H35719,H35719,,Yes,
"Unspecified acute reaction to foreign substance accidentally left during a procedure, sequela",T8160XS,T8160XS,,Yes,
"Nondisplaced fracture of unspecified ulna styloid process, subsequent encounter for closed fracture with nonunion",S52616K,S52616K,,Yes,
"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, subsequent encounter",V619XXD,V619XXD,,Yes,
"Displaced fracture of base of neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing",S72043E,S72043E,,Yes,
"Contusion of right thumb with damage to nail, sequela",S60111S,S60111S,,Yes,
"Dislocation of metatarsophalangeal joint of left great toe, sequela",S93122S,S93122S,,Yes,
"Salter-Harris Type I physeal fracture of left calcaneus, subsequent encounter for fracture with routine healing",S99012D,S99012D,,Yes,
"Displaced fracture of right radial styloid process, subsequent encounter for open fracture type I or II with delayed healing",S52511H,S52511H,,Yes,
"Other fracture of shaft of right humerus, subsequent encounter for fracture with nonunion",S42391K,S42391K,,Yes,
Phlebitis and thrombophlebitis of unspecified deep vessels of unspecified lower extremity,I80209,I80209,,Yes,
"Person on outside of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident, sequela",V377XXS,V377XXS,,Yes,
"War operations involving destruction of aircraft due to collision with other aircraft, military personnel, subsequent encounter",Y36120D,Y36120D,,Yes,
Personal history of other malignant neoplasm of thymus,Z85238,Z85238,,Yes,
"Burn of second degree of multiple right fingers (nail), including thumb, initial encounter",T23241A,T23241A,,Yes,
"Other sprain of right index finger, sequela",S63690S,S63690S,,Yes,
Encounter for aftercare following other organ transplant,Z48298,Z48298,,Yes,
"Pathological fracture, right shoulder, initial encounter for fracture",M84411A,M84411A,,Yes,
"Displaced fracture of lesser trochanter of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",S72123C,S72123C,,Yes,
"Other osteonecrosis, unspecified fibula",M87869,M87869,,Yes,
"Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V355XXD,V355XXD,,Yes,
"Laceration with foreign body of left great toe without damage to nail, sequela",S91122S,S91122S,,Yes,
Other benign mammary dysplasias of unspecified breast,N6089,N6089,,Yes,
