Diagnosis Description,Reference Code,Retrieve-Rank,Vanilla GPT-3.5-turbo,Retrieve-Rank Match,Vanilla GPT-3.5 turbo match
"Sprain of joints and ligaments of other parts of neck, subsequent encounter",S138XXD,S138XXD,,Yes,
"Fracture of tibia or fibula following insertion of orthopedic implant, joint prosthesis, or bone plate, right leg",M96671,M96671,,Yes,
"Displaced fracture of proximal phalanx of left great toe, initial encounter for open fracture",S92412B,S92412B,,Yes,
"Subluxation of metacarpophalangeal joint of left thumb, subsequent encounter",S63112D,S63112D,,Yes,
"Syndactyly, unspecified",Q709,Q709,,Yes,
"Poisoning by antirheumatics, not elsewhere classified, accidental (unintentional), subsequent encounter",T394X1D,T394X1D,,Yes,
"Unspecified fracture of lower end of left femur, subsequent encounter for open fracture type I or II with delayed healing",S72402H,S72402H,,Yes,
"Unspecified injury of muscle, fascia and tendon of other parts of biceps, right arm, initial encounter",S46201A,S46201A,,Yes,
"Assault by airgun discharge, sequela",X9501XS,X9501XS,,Yes,
Disorders of endocrine glands in diseases classified elsewhere,E35,E35,,Yes,
Delayed delivery after artificial rupture of membranes,O755,O755,,Yes,
"Chronic multifocal osteomyelitis, unspecified femur",M86359,M86359,,Yes,
"Barton's fracture of left radius, subsequent encounter for closed fracture with nonunion",S52562K,S52562K,,Yes,
"Pathological fracture in neoplastic disease, left hand, subsequent encounter for fracture with delayed healing",M84542G,M84542G,,Yes,
"Unspecified fracture of other metacarpal bone, initial encounter for open fracture",S62308B,S62308B,,Yes,
"Traumatic hemorrhage of right cerebrum with loss of consciousness of 31 minutes to 59 minutes, subsequent encounter",S06342D,S06342D,,Yes,
Malignant neoplasm of parotid gland,C07,C07,,Yes,
"Terrorism involving biological weapons, terrorist injured, sequela",Y386X3S,Y386X3S,,Yes,
Other specified acquired deformities of left thigh,M21852,M21852,,Yes,
"Unspecified rider of other motorcycle injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V2629XA,V2629XA,,Yes,
"Other specified injury of greater saphenous vein at hip and thigh level, left leg, initial encounter",S75292A,S75292A,,Yes,
"Laceration without foreign body of left ring finger without damage to nail, sequela",S61215S,S61215S,,Yes,
Swimming-pool of children's home and orphanage as the place of occurrence of the external cause,Y92115,Y92115,,Yes,
"Other specified arthritis, left ankle and foot",M13872,M13872,,Yes,
"Nondisplaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with delayed healing",S62650G,S62650G,,Yes,
"Partial traumatic amputation at left shoulder joint, sequela",S48022S,S48022S,,Yes,
"Terrorism involving nuclear weapons, public safety official injured, initial encounter",Y385X1A,Y385X1A,,Yes,
"Walked into furniture, subsequent encounter",W2203XD,W2203XD,,Yes,
"Corrosion of second degree of unspecified upper arm, initial encounter",T22639A,T22639A,,Yes,
"Derangement of posterior horn of medial meniscus due to old tear or injury, left knee",M23222,M23222,,Yes,
"Exposure to other furniture fire due to other burning material, sequela",X0829XS,X0829XS,,Yes,
"Nondisplaced fracture of unspecified tibial tuberosity, sequela",S82156S,S82156S,,Yes,
"Acute sphenoidal sinusitis, unspecified",J0130,J0130,,Yes,
"Displaced fracture of posterior wall of left acetabulum, subsequent encounter for fracture with delayed healing",S32422G,S32422G,,Yes,
"Salter-Harris Type IV physeal fracture of upper end of left tibia, subsequent encounter for fracture with routine healing",S89042D,S89042D,,Yes,
"Unstable burst fracture of T5-T6 vertebra, initial encounter for closed fracture",S22052A,S22052A,,Yes,
"Poisoning by anthelminthics, assault, subsequent encounter",T374X3D,T374X3D,,Yes,
"Toxic effect of corrosive acids and acid-like substances, intentional self-harm, subsequent encounter",T542X2D,T542X2D,,Yes,
"Derangement of unspecified medial meniscus due to old tear or injury, left knee",M23204,M23204,,Yes,
"Extremely low birth weight newborn, 750-999 grams",P0703,P0703,,Yes,
"Separation of muscle (nontraumatic), unspecified thigh",M62059,M62059,,Yes,
"Poisoning by unspecified topical agent, undetermined, subsequent encounter",T4994XD,T4994XD,,Yes,
"Electric (assisted) bicycle driver injured in collision with pedestrian or animal in traffic accident, initial encounter",V2041XA,V2041XA,,Yes,
"Burn of second degree of right thumb (nail), initial encounter",T23211A,T23211A,,Yes,
"Nondisplaced fracture of hook process of hamate [unciform] bone, right wrist, initial encounter for closed fracture",S62154A,S62154A,,Yes,
Generalized hyperhidrosis,R61,R61,,Yes,
"Eclampsia complicating pregnancy, second trimester",O1502,O1502,,Yes,
"Legal intervention involving baton, unspecified person injured, initial encounter",Y35319A,Y35319A,,Yes,
"Insect bite (nonvenomous) of left hand, initial encounter",S60562A,S60562A,,Yes,
"Blister (nonthermal) of unspecified elbow, subsequent encounter",S50329D,S50329D,,Yes,
"Nondisplaced transverse fracture of shaft of left femur, subsequent encounter for open fracture type I or II with malunion",S72325Q,S72325Q,,Yes,
"Nondisplaced oblique fracture of shaft of right tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S82234J,S82234J,,Yes,
"Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with nonunion",S32445K,S32445K,,Yes,
"Poisoning by sulfonamides, intentional self-harm, subsequent encounter",T370X2D,T370X2D,,Yes,
"Toxic effect of other corrosive organic compounds, undetermined, sequela",T541X4S,T541X4S,,Yes,
"Salter-Harris Type II physeal fracture of lower end of left tibia, sequela",S89122S,S89122S,,Yes,
"Unspecified soft tissue disorder related to use, overuse and pressure, right shoulder",M70911,M70911,,Yes,
"Hemarthrosis, right elbow",M25021,M25021,,Yes,
"Abrasion of unspecified finger, initial encounter",S60419A,S60419A,,Yes,
"Erosion of graft of urinary organ, sequela",T8324XS,T8324XS,,Yes,
Diaper dermatitis,L22,L22,,Yes,
"Occupant of animal-drawn vehicle injured in collision with pedal cycle, initial encounter",V8022XA,V8022XA,,Yes,
"Nondisplaced transverse fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S82034N,S82034N,,Yes,
"Allergy, unspecified, subsequent encounter",T7840XD,T7840XD,,Yes,
"Nondisplaced fracture of trapezium [larger multangular], right wrist, subsequent encounter for fracture with malunion",S62174P,S62174P,,Yes,
"Infection and inflammatory reaction due to internal fixation device of other site, sequela",T8469XS,T8469XS,,Yes,
"Unspecified atherosclerosis of native arteries of extremities, right leg",I70201,I70201,,Yes,
"Nondisplaced intertrochanteric fracture of left femur, subsequent encounter for closed fracture with delayed healing",S72145G,S72145G,,Yes,
"Multiple fractures of ribs, left side, sequela",S2242XS,S2242XS,,Yes,
"Unspecified fracture of right ilium, initial encounter for open fracture",S32301B,S32301B,,Yes,
Newborn affected by maternal use of other drugs of addiction,P0449,P0449,,Yes,
"Obstructed labor due to maternal pelvic abnormality, unspecified",O659,O659,,Yes,
"Displaced fracture of distal phalanx of left great toe, subsequent encounter for fracture with malunion",S92422P,S92422P,,Yes,
Anterior cord syndrome,G8382,G8382,,Yes,
Diabetes mellitus due to underlying condition with other skin ulcer,E08622,E08622,,Yes,
"Unspecified injury of other blood vessels at ankle and foot level, unspecified leg, subsequent encounter",S95809D,S95801D,,No,
"Corneal abscess, right eye",H16311,H16311,,Yes,
"Other fracture of first thoracic vertebra, subsequent encounter for fracture with routine healing",S22018D,S22018D,,Yes,
"Pathological fracture in other disease, unspecified foot, sequela",M84676S,M84676S,,Yes,
"Corrosion of first degree of left shoulder, initial encounter",T22552A,T22552A,,Yes,
Unspecified jaundice,R17,R17,,Yes,
"Obstructed labor due to compound presentation, fetus 5",O645XX5,O645XX5,,Yes,
"Occupant of animal-drawn vehicle injured in collision with fixed or stationary object, sequela",V8082XS,V8082XS,,Yes,
"Nondisplaced fracture of neck of first metacarpal bone, left hand, subsequent encounter for fracture with malunion",S62255P,S62255P,,Yes,
"Unspecified injury of intrinsic muscle, fascia and tendon of right little finger at wrist and hand level, sequela",S66506S,S66506S,,Yes,
"External constriction of unspecified ear, subsequent encounter",S00449D,S00449D,,Yes,
Cellulitis of unspecified finger,L03019,L03019,,Yes,
"Nondisplaced fracture of lateral condyle of right tibia, initial encounter for open fracture type I or II",S82124B,S82124B,,Yes,
"Displaced fracture of unspecified tibial spine, subsequent encounter for closed fracture with delayed healing",S82113G,S82113G,,Yes,
Spastic hemiplegia affecting left dominant side,G8112,G8112,,Yes,
"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",E093413,E093493,,No,
"Burn of third degree of single left finger (nail) except thumb, initial encounter",T23322A,T23322A,,Yes,
Carcinoma in situ of unspecified female genital organs,D0730,D0730,,Yes,
"Toxic effect of unspecified snake venom, assault, initial encounter",T63003A,T63003A,,Yes,
"Underdosing of angiotensin-converting-enzyme inhibitors, sequela",T464X6S,T464X6S,,Yes,
Abnormal histological findings in specimens from respiratory organs and thorax,R847,R847,,Yes,
"Laceration of muscle, fascia and tendon of unspecified hip, sequela",S76029S,S76029S,,Yes,
"Endometriosis of left fallopian tube, unspecified depth",N80202,N80202,,Yes,
"Hit by object falling from aircraft, sequela",V9731XS,V9731XS,,Yes,
"Stress fracture, left tibia, subsequent encounter for fracture with routine healing",M84362D,M84362D,,Yes,
"Hallux rigidus, left foot",M2022,M2022,,Yes,
"Other superficial bite of right front wall of thorax, sequela",S20371S,S20371S,,Yes,
"Displaced fracture of shaft of second metacarpal bone, right hand, initial encounter for open fracture",S62320B,S62320B,,Yes,
"Terrorism involving unspecified means, subsequent encounter",Y3880XD,Y3880XD,,Yes,
"Salter-Harris Type I physeal fracture of upper end of humerus, unspecified arm, subsequent encounter for fracture with delayed healing",S49019G,S49019G,,Yes,
Cervical rib,Q765,Q765,,Yes,
Neonatal hematemesis,P540,P540,,Yes,
"Contusion of left hand, initial encounter",S60222A,S60222A,,Yes,
Extrapyramidal and movement disorders in diseases classified elsewhere,G26,G26,,Yes,
Deep endometriosis of diaphragm,N80B32,N80B32,,Yes,
"Passenger of special agricultural vehicle injured in traffic accident, initial encounter",V841XXA,V841XXA,,Yes,
"Nondisplaced fracture of body of left talus, sequela",S92125S,S92125S,,Yes,
"Pathological fracture in other disease, left femur, initial encounter for fracture",M84652A,M84652A,,Yes,
"Underdosing of cocaine, sequela",T405X6S,T405X6S,,Yes,
"Unspecified open wound of abdominal wall, right lower quadrant without penetration into peritoneal cavity, subsequent encounter",S31103D,S31103D,,Yes,
"Driver of special industrial vehicle injured in nontraffic accident, initial encounter",V835XXA,V835XXA,,Yes,
"Complete traumatic amputation at left shoulder joint, initial encounter",S48012A,S48012A,,Yes,
"Accidental discharge of machine gun, subsequent encounter",W3303XD,W3303XD,,Yes,
Interstitial cystitis (chronic) with hematuria,N3011,N3011,,Yes,
"Poisoning by other vaccines and biological substances, accidental (unintentional), subsequent encounter",T50Z91D,T50Z91D,,Yes,
Idiopathic aseptic necrosis of right tibia,M87061,M87061,,Yes,
"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V326XXA,V326XXA,,Yes,
"Absence epileptic syndrome, intractable, without status epilepticus",G40A19,G40A19,,Yes,
"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in nontraffic accident, sequela",V302XXS,V302XXS,,Yes,
Malignant neoplasm of transverse colon,C184,C184,,Yes,
"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S72111R,S72111R,,Yes,
"Unspecified open wound of right hand, subsequent encounter",S61401D,S61401D,,Yes,
Cutaneous myiasis,B870,B870,,Yes,
"Superficial foreign body of right thumb, subsequent encounter",S60351D,S60351D,,Yes,
"Toxic effect of smoke, accidental (unintentional), sequela",T59811S,T59811S,,Yes,
"Toxic effect of herbicides and fungicides, accidental (unintentional), initial encounter",T603X1A,T603X1A,,Yes,
"Exposure to supersonic waves, subsequent encounter",W420XXD,W420XXD,,Yes,
"Posterior subcapsular polar infantile and juvenile cataract, right eye",H26051,H26051,,Yes,
"Nondisplaced oblique fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC",S82436C,S82436C,,Yes,
"Underdosing of tetracyclic antidepressants, subsequent encounter",T43026D,T43026D,,Yes,
"Displaced fracture of capitate [os magnum] bone, right wrist, sequela",S62131S,S62131S,,Yes,
"Adverse effect of insulin and oral hypoglycemic [antidiabetic] drugs, subsequent encounter",T383X5D,T383X5D,,Yes,
"Spontaneous rupture of flexor tendons, unspecified thigh",M66359,M66359,,Yes,
"Activity, snow (alpine) (downhill) skiing, snowboarding, sledding, tobogganing and snow tubing",Y9323,Y9323,,Yes,
"Other specified inflammatory spondylopathies, thoracolumbar region",M4685,M4685,,Yes,
"Injury of sciatic nerve at hip and thigh level, left leg, subsequent encounter",S7402XD,S7402XD,,Yes,
"Adverse effect of aminoglycosides, subsequent encounter",T365X5D,T365X5D,,Yes,
"Toxic effect of other metals, accidental (unintentional), subsequent encounter",T56891D,T56891D,,Yes,
Unspecified parametritis and pelvic cellulitis,N732,N732,,Yes,
"Exposure to bed fire due to unspecified burning material, subsequent encounter",X0800XD,X0800XD,,Yes,
"Partial traumatic amputation of unspecified breast, subsequent encounter",S28229D,S28229D,,Yes,
"Intervertebral disc disorders with radiculopathy, thoracolumbar region",M5115,M5115,,Yes,
"Legal intervention involving other explosives, bystander injured, subsequent encounter",Y35192D,Y35192D,,Yes,
"Displaced oblique fracture of shaft of right fibula, initial encounter for closed fracture",S82431A,S82431A,,Yes,
Abnormal findings on neonatal screening for neonatal hearing loss,P096,P096,,Yes,
"Complete traumatic amputation of unspecified hand at wrist level, sequela",S68419S,S68419S,,Yes,
"Acute serous otitis media, recurrent, bilateral",H6506,H6506,,Yes,
"Pedestrian on skateboard injured in collision with pedal cycle, unspecified whether traffic or nontraffic accident, sequela",V0192XS,V0192XS,,Yes,
"Maternal care for (suspected) central nervous system malformation or damage in fetus, unspecified, not applicable or unspecified",O3500X0,O3500X0,,Yes,
"Superficial frostbite of left finger(s), initial encounter",T33532A,T33532A,,Yes,
Other obesity,E668,E668,,Yes,
"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",E103599,E103599,,Yes,
Toxic liver disease with other disorders of liver,K718,K718,,Yes,
"Other injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, subsequent encounter",S86299D,S86299D,,Yes,
"Unspecified injury of flexor muscle, fascia and tendon of left ring finger at wrist and hand level, sequela",S66105S,S66105S,,Yes,
"Unspecified dislocation of right shoulder joint, initial encounter",S43004A,S43004A,,Yes,
"Disorders of muscle in diseases classified elsewhere, unspecified upper arm",M63829,M63829,,Yes,
"Fracture of orbital floor, unspecified side, subsequent encounter for fracture with routine healing",S0230XD,S0230XD,,Yes,
"Unspecified injury of radial artery at wrist and hand level of right arm, sequela",S65101S,S65101S,,Yes,
"Burn of unspecified degree of scalp [any part], sequela",T2005XS,T2005XS,,Yes,
"Other migraine, not intractable, with status migrainosus",G43801,G43801,,Yes,
"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional), subsequent encounter",T5991XD,T5991XD,,Yes,
"Maternal care for fetal problem, unspecified, third trimester, fetus 4",O3693X4,O3693X4,,Yes,
"Unspecified injury of unspecified innominate or subclavian vein, initial encounter",S25309A,S25309A,,Yes,
Caregiver's intentional underdosing of medication regimen for other reason,Z91A28,Z91A28,,Yes,
"Nondisplaced fracture of medial condyle of right femur, subsequent encounter for closed fracture with routine healing",S72434D,S72434D,,Yes,
"Adult financial abuse, confirmed, subsequent encounter",T74A1XD,T74A1XD,,Yes,
"Salter-Harris Type IV physeal fracture of phalanx of left toe, subsequent encounter for fracture with routine healing",S99242D,S99242D,,Yes,
"Other injury of other muscles, fascia and tendons at forearm level, right arm, subsequent encounter",S56891D,S56891D,,Yes,
"Military operations involving fragments from weapons, military personnel, subsequent encounter",Y37270D,Y37270D,,Yes,
"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures, not intractable, without status epilepticus",G40109,G40109,,Yes,
Personal history of (corrected) congenital malformations of face and neck,Z87790,Z87790,,Yes,
"Unspecified displaced fracture of sixth cervical vertebra, initial encounter for open fracture",S12500B,S12500B,,Yes,
"Greenstick fracture of shaft of radius, unspecified arm, initial encounter for closed fracture",S52319A,S52319A,,Yes,
"Contusion of ureter, subsequent encounter",S3712XD,S3712XD,,Yes,
"Struck by ice hockey stick, subsequent encounter",W21210D,W21210D,,Yes,
"Activity, rappelling",Y9332,Y9332,,Yes,
"Nondisplaced fracture of medial condyle of unspecified tibia, sequela",S82136S,S82136S,,Yes,
"Asphyxiation due to mechanical threat to breathing due to other causes, undetermined, initial encounter",T71194A,T71194A,,Yes,
Plicated tongue,K145,K145,,Yes,
"Injury of other nerves at shoulder and upper arm level, left arm, sequela",S448X2S,S448X2S,,Yes,
"Military operation involving nuclear radiation effects of nuclear weapon, civilian, subsequent encounter",Y37541D,Y37541D,,Yes,
"Laceration of lesser saphenous vein at lower leg level, unspecified leg, initial encounter",S85419A,S85419A,,Yes,
"Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter",T4792XA,T4792XA,,Yes,
"Displaced oblique fracture of shaft of left fibula, subsequent encounter for open fracture type I or II with nonunion",S82432M,S82432M,,Yes,
"Other pulmonary eosinophilia, not elsewhere classified",J8289,J8289,,Yes,
"Other mucopurulent conjunctivitis, right eye",H10021,H10021,,Yes,
"Subluxation of proximal interphalangeal joint of right index finger, initial encounter",S63230A,S63230A,,Yes,
"Nondisplaced fracture of proximal phalanx of right lesser toe(s), sequela",S92514S,S92514S,,Yes,
"Other articular cartilage disorders, left ankle",M24172,M24172,,Yes,
"Unspecified fracture of shaft of unspecified femur, subsequent encounter for closed fracture with routine healing",S72309D,S72309D,,Yes,
"Other specified injury of right quadriceps muscle, fascia and tendon, subsequent encounter",S76191D,S76191D,,Yes,
"Nondisplaced avulsion fracture (chip fracture) of left talus, initial encounter for open fracture",S92155B,S92155B,,Yes,
"Synovial cyst of popliteal space [Baker], unspecified knee",M7120,M7120,,Yes,
"Unspecified subluxation of right radial head, subsequent encounter",S53001D,S53001D,,Yes,
"Nondisplaced fracture of shaft of left clavicle, subsequent encounter for fracture with routine healing",S42025D,S42025D,,Yes,
"Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age",Z6852,Z6852,,Yes,
Family history of malignant neoplasm of testis,Z8043,Z8043,,Yes,
"Nondisplaced fracture of proximal phalanx of unspecified lesser toe(s), subsequent encounter for fracture with delayed healing",S92516G,S92516G,,Yes,
"Frostbite with tissue necrosis of unspecified knee and lower leg, initial encounter",T3470XA,T3470XA,,Yes,
"Laceration of intrinsic muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",S66522A,S66522A,,Yes,
"Crushing injury of left thumb, sequela",S6702XS,S6702XS,,Yes,
"Displaced fracture of body of left talus, initial encounter for closed fracture",S92122A,S92122A,,Yes,
Other congenital malformations of gallbladder,Q441,Q441,,Yes,
"Nondisplaced fracture of trapezoid [smaller multangular], left wrist, initial encounter for open fracture",S62185B,S62185B,,Yes,
"Infective myositis, unspecified right leg",M60003,M60003,,Yes,
"Unspecified open wound of larynx, initial encounter",S11019A,S11019A,,Yes,
"Unspecified urethral stricture, male, overlapping sites",N35916,N35916,,Yes,
"Nondisplaced fracture of capitate [os magnum] bone, left wrist, subsequent encounter for fracture with routine healing",S62135D,S62135D,,Yes,
"Major osseous defect, right forearm",M89731,M89731,,Yes,
"Poisoning by cannabis, accidental (unintentional), sequela",T40711S,T40711S,,Yes,
"Unspecified open wound of abdominal wall, left lower quadrant with penetration into peritoneal cavity, subsequent encounter",S31604D,S31604D,,Yes,
Adjustment disorder with other symptoms,F4329,F4329,,Yes,
"Maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly, fetus 4",O3505X4,O3505X4,,Yes,
"Otitic barotrauma, subsequent encounter",T700XXD,T700XXD,,Yes,
"Unspecified superficial injuries of right front wall of thorax, subsequent encounter",S20301D,S20301D,,Yes,
"Occupant of animal-drawn vehicle injured in collision with railway train or railway vehicle, initial encounter",V8062XA,V8062XA,,Yes,
"Salter-Harris Type I physeal fracture of upper end of left tibia, subsequent encounter for fracture with routine healing",S89012D,S89012D,,Yes,
"Nondisplaced fracture of posterior wall of right acetabulum, initial encounter for closed fracture",S32424A,S32424A,,Yes,
"Insect bite (nonvenomous) of right shoulder, subsequent encounter",S40261D,S40261D,,Yes,
Other congenital functional disorders of colon,Q432,Q432,,Yes,
"Toxic effect of cyanides, accidental (unintentional), subsequent encounter",T650X1D,T650X1D,,Yes,
"Laceration with foreign body of unspecified elbow, sequela",S51029S,S51029S,,Yes,
"Displaced fracture of shaft of right clavicle, subsequent encounter for fracture with malunion",S42021P,S42021P,,Yes,
"Stress fracture, right radius, subsequent encounter for fracture with nonunion",M84333K,M84333K,,Yes,
"Toxic effect of venom of gila monster, accidental (unintentional), subsequent encounter",T63111D,T63111D,,Yes,
"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 31 minutes to 59 minutes, sequela",S06382S,S06382S,,Yes,
Hereditary sideroblastic anemia,D640,D640,,Yes,
Cryptosporidiosis,A072,A072,,Yes,
Other nonspecific abnormal finding of lung field,R918,R918,,Yes,
"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, assault, initial encounter",T502X3A,T502X3A,,Yes,
"Effects of weightlessness, initial encounter",T7582XA,T7582XA,,Yes,
"Other contact with squirrel, sequela",W5329XS,W5329XS,,Yes,
"Burn of unspecified degree of right axilla, sequela",T22041S,T22041S,,Yes,
"Unspecified injury of unspecified muscle, fascia and tendon at shoulder and upper arm level, left arm, initial encounter",S46902A,S46902A,,Yes,
"Other specified injury of unspecified blood vessel at lower leg level, left leg, subsequent encounter",S85992D,S85992D,,Yes,
"Neuroma of amputation stump, left lower extremity",T8734,T8734,,Yes,
"Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for open fracture type I or II with delayed healing",S52346H,S52346H,,Yes,
"Displaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with delayed healing",S32441G,S32441G,,Yes,
"Acute reactive otitis externa, unspecified ear",H60559,H60559,,Yes,
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V576XXD,V576XXD,,Yes,
"Laceration of intrinsic muscle and tendon at ankle and foot level, right foot, sequela",S96221S,S96221S,,Yes,
"Other specified injuries of right shoulder and upper arm, initial encounter",S4981XA,S4981XA,,Yes,
"Exposure to ignition of plastic jewelry, initial encounter",X060XXA,X060XXA,,Yes,
"Displaced fracture of proximal phalanx of left thumb, subsequent encounter for fracture with malunion",S62512P,S62512P,,Yes,
"Displaced fracture of lateral condyle of right humerus, initial encounter for closed fracture",S42451A,S42451A,,Yes,
"Acute lymphangitis, unspecified",L0391,L0391,,Yes,
"Person on outside of three-wheeled motor vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V307XXD,V307XXD,,Yes,
"Trigger finger, right middle finger",M65331,M65331,,Yes,
"Unspecified fracture of right lower leg, initial encounter for closed fracture",S8291XA,S8291XA,,Yes,
"Pathological fracture, left ankle, initial encounter for fracture",M84472A,M84472A,,Yes,
"Adverse effect of rifampicins, initial encounter",T366X5A,T366X5A,,Yes,
"Poisoning by local astringents and local detergents, accidental (unintentional), initial encounter",T492X1A,T492X1A,,Yes,
"Other specified injury of superior vena cava, sequela",S2529XS,S2529XS,,Yes,
"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional), sequela",T543X1S,T543X1S,,Yes,
Vascular anomalies of left upper eyelid,H02874,H02874,,Yes,
"Other fracture of right foot, subsequent encounter for fracture with malunion",S92811P,S92811P,,Yes,
"Unspecified soft tissue disorder related to use, overuse and pressure, right forearm",M70931,M70931,,Yes,
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 6 hours to 24 hours, initial encounter",S06334A,S06334A,,Yes,
"Nondisplaced comminuted fracture of shaft of radius, left arm, subsequent encounter for open fracture type I or II with routine healing",S52355E,S52355E,,Yes,
"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with routine healing",S82866E,S82866E,,Yes,
"Laceration of lung, unspecified, sequela",S27339S,S27339S,,Yes,
Actinic granuloma,L575,L575,,Yes,
"Insect bite (nonvenomous) of left thumb, initial encounter",S60362A,S60362A,,Yes,
"Exposure to flames in controlled fire in building or structure, initial encounter",X020XXA,X020XXA,,Yes,
"Nondisplaced comminuted fracture of shaft of ulna, right arm, subsequent encounter for closed fracture with malunion",S52254P,S52254P,,Yes,
"Military operations involving combat using blunt or piercing object, civilian, sequela",Y37451S,Y37451S,,Yes,
"Pathological fracture, left shoulder, subsequent encounter for fracture with delayed healing",M84412G,M84412G,,Yes,
"Age-related osteoporosis with current pathological fracture, right hand, initial encounter for fracture",M80041A,M80041A,,Yes,
"Postdysenteric arthropathy, unspecified hip",M02159,M02159,,Yes,
"Corrosion of second degree of unspecified lower leg, subsequent encounter",T24639D,T24639D,,Yes,
"Nondisplaced fracture of proximal phalanx of other finger, subsequent encounter for fracture with routine healing",S62648D,S62648D,,Yes,
Activated protein C resistance,D6851,D6851,,Yes,
"Juvenile arthritis, unspecified, left knee",M08962,M08962,,Yes,
"Pathological fracture in other disease, right radius, sequela",M84633S,M84633S,,Yes,
"Laceration with foreign body of right elbow, sequela",S51021S,S51021S,,Yes,
"Corrosion of unspecified degree of left thumb (nail), initial encounter",T23412A,T23412A,,Yes,
"Adverse effect of other laxatives, subsequent encounter",T474X5D,T474X5D,,Yes,
"Toxic effect of latex, undetermined, initial encounter",T65814A,T65814A,,Yes,
Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side,I69142,I69142,,Yes,
"Unspecified open wound of left middle finger with damage to nail, subsequent encounter",S61303D,S61303D,,Yes,
"Posterior subluxation of right radial head, initial encounter",S53021A,S53021A,,Yes,
Non-pressure chronic ulcer of unspecified thigh with other specified severity,L97108,L97108,,Yes,
"Other injury of flexor muscle, fascia and tendon of right index finger at wrist and hand level, initial encounter",S66190A,S66190A,,Yes,
"Underdosing of tetracyclic antidepressants, subsequent encounter",T43026D,T43026D,,Yes,
"Displaced supracondylar fracture with intracondylar extension of lower end of right femur, subsequent encounter for open fracture type I or II with malunion",S72461Q,S72461M,,No,
"Partial traumatic amputation at left hip joint, subsequent encounter",S78022D,S78022D,,Yes,
"Activity, trampolining",Y9344,Y9344,,Yes,
"Unspecified injury of diaphragm, initial encounter",S27809A,S27809A,,Yes,
"Toxic effect of methanol, undetermined, subsequent encounter",T511X4D,T511X4D,,Yes,
Endometriosis of the sciatic nerve,N80D4,N80D4,,Yes,
"Primary focal hyperhidrosis, palms",L74512,L74512,,Yes,
"Unspecified fracture of lower end of unspecified ulna, initial encounter for closed fracture",S52609A,S52609A,,Yes,
"Contusion and laceration of left cerebrum with loss of consciousness of 6 hours to 24 hours, subsequent encounter",S06324D,S06324D,,Yes,
"Contusion and laceration of cerebrum, unspecified, with loss of consciousness of any duration with death due to other cause prior to regaining consciousness, initial encounter",S06338A,S06338A,,Yes,
"Age-related osteoporosis with current pathological fracture, right shoulder, subsequent encounter for fracture with nonunion",M80011K,M80011K,,Yes,
"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object, initial encounter",W0110XA,W0110XA,,Yes,
"Chronic gout due to renal impairment, unspecified knee, with tophus (tophi)",M1A3691,M1A3691,,Yes,
"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",E1037X2,E1037X2,,Yes,
"Partial traumatic transphalangeal amputation of left index finger, initial encounter",S68621A,S68621A,,Yes,
Benign neoplasm of bladder,D303,D303,,Yes,
"Displaced fracture of medial condyle of left femur, subsequent encounter for open fracture type I or II with delayed healing",S72432H,S72432H,,Yes,
"Poisoning by other viral vaccines, assault, initial encounter",T50B93A,T50B93A,,Yes,
